Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
10808.2	3.3608	3.08737	3.2328	3.1942	3.20535	0.324841	1.57563	-4.69158	4.05749	3.09491	0.227206	-28.0395	0	289.959	280.959	0.000162161	4.49136	2.49759e-05	1.52566e-05	4.7767	5.02998e-06	1.56184e-05	-0.0554217	0.0625166	8.81463	
11058.8	3.36101	3.08736	3.23278	3.19417	3.20532	0.32484	1.57562	-4.69149	4.05754	3.09497	0.227201	-28.0397	0	289.959	280.959	0.00016216	4.49083	2.49798e-05	1.52525e-05	4.77691	5.02988e-06	1.5618e-05	-0.0554298	0.0625114	8.81458	
11310.3	3.36123	3.08734	3.23276	3.19414	3.20529	0.324838	1.57561	-4.69139	4.05759	3.09502	0.227197	-28.0398	0	289.96	280.96	0.000162159	4.4903	2.49835e-05	1.52486e-05	4.77712	5.02977e-06	1.56176e-05	-0.0554381	0.0625061	8.81453	
11564.3	3.36146	3.08732	3.23274	3.19411	3.20526	0.324836	1.5756	-4.69129	4.05765	3.09507	0.227193	-28.04	0	289.96	280.96	0.000162158	4.48974	2.49872e-05	1.52446e-05	4.77733	5.02967e-06	1.56172e-05	-0.0554467	0.0625005	8.81447	
11815.3	3.36169	3.0873	3.23272	3.19408	3.20522	0.324834	1.57559	-4.69119	4.0577	3.09512	0.227188	-28.0402	0	289.961	280.961	0.000162157	4.48919	2.49907e-05	1.52409e-05	4.77754	5.02956e-06	1.56168e-05	-0.0554554	0.0624949	8.81442	
12066	3.36192	3.08728	3.2327	3.19405	3.20519	0.324832	1.57558	-4.69108	4.05774	3.09518	0.227184	-28.0404	0	289.961	280.961	0.000162156	4.48862	2.49942e-05	1.52372e-05	4.77775	5.02945e-06	1.56164e-05	-0.0554643	0.0624893	8.81436	
12316.7	3.36216	3.08726	3.23268	3.19402	3.20515	0.324831	1.57557	-4.69098	4.05779	3.09523	0.227179	-28.0405	0	289.962	280.962	0.000162156	4.48805	2.49975e-05	1.52337e-05	4.77796	5.02933e-06	1.5616e-05	-0.0554733	0.0624835	8.81431	
12568.1	3.3624	3.08724	3.23265	3.19399	3.20512	0.324829	1.57556	-4.69088	4.05784	3.09528	0.227174	-28.0407	0	289.962	280.962	0.000162155	4.48746	2.50008e-05	1.52303e-05	4.77817	5.02922e-06	1.56156e-05	-0.0554825	0.0624777	8.81425	
12822.2	3.36265	3.08722	3.23263	3.19396	3.20508	0.324827	1.57556	-4.69078	4.05789	3.09532	0.227169	-28.0409	0	289.963	280.963	0.000162154	4.48686	2.5004e-05	1.52268e-05	4.77839	5.0291e-06	1.56152e-05	-0.055492	0.0624717	8.81419	
13073.2	3.3629	3.0872	3.23261	3.19393	3.20504	0.324826	1.57555	-4.69068	4.05794	3.09537	0.227164	-28.0411	0	289.963	280.963	0.000162153	4.48627	2.5007e-05	1.52236e-05	4.77859	5.02899e-06	1.56148e-05	-0.0555014	0.0624657	8.81413	
13323.9	3.36315	3.08718	3.23258	3.19389	3.20501	0.324824	1.57554	-4.69058	4.05798	3.09542	0.227159	-28.0413	0	289.964	280.964	0.000162152	4.48566	2.501e-05	1.52204e-05	4.7788	5.02887e-06	1.56144e-05	-0.055511	0.0624597	8.81407	
13574.5	3.3634	3.08716	3.23256	3.19386	3.20497	0.324823	1.57553	-4.69047	4.05803	3.09547	0.227154	-28.0415	0	289.964	280.964	0.000162152	4.48506	2.50129e-05	1.52173e-05	4.77901	5.02875e-06	1.5614e-05	-0.0555206	0.0624536	8.814	
13826	3.36366	3.08714	3.23254	3.19383	3.20493	0.324821	1.57552	-4.69037	4.05808	3.09551	0.227149	-28.0417	0	289.965	280.965	0.000162151	4.48444	2.50157e-05	1.52143e-05	4.77921	5.02863e-06	1.56135e-05	-0.0555304	0.0624475	8.81394	
14080	3.36392	3.08711	3.23251	3.19379	3.20489	0.32482	1.57552	-4.69027	4.05812	3.09556	0.227144	-28.0419	0	289.966	280.966	0.00016215	4.48381	2.50184e-05	1.52114e-05	4.77942	5.02851e-06	1.56131e-05	-0.0555404	0.0624413	8.81388	
14331	3.36418	3.08709	3.23249	3.19376	3.20485	0.324818	1.57551	-4.69017	4.05817	3.0956	0.227139	-28.0421	0	289.966	280.966	0.000162149	4.48319	2.50211e-05	1.52086e-05	4.77962	5.02839e-06	1.56127e-05	-0.0555503	0.062435	8.81382	
14581.7	3.36444	3.08707	3.23246	3.19372	3.20482	0.324817	1.5755	-4.69006	4.05821	3.09565	0.227134	-28.0423	0	289.967	280.967	0.000162149	4.48257	2.50236e-05	1.52059e-05	4.77983	5.02827e-06	1.56123e-05	-0.0555603	0.0624288	8.81375	
14832.3	3.36471	3.08705	3.23244	3.19369	3.20478	0.324816	1.57549	-4.68996	4.05825	3.09569	0.227129	-28.0425	0	289.967	280.967	0.000162148	4.48194	2.50261e-05	1.52032e-05	4.78003	5.02814e-06	1.56118e-05	-0.0555703	0.0624225	8.81369	
15083.8	3.36497	3.08703	3.23241	3.19365	3.20474	0.324814	1.57549	-4.68986	4.0583	3.09573	0.227124	-28.0427	0	289.968	280.968	0.000162147	4.48131	2.50285e-05	1.52007e-05	4.78023	5.02802e-06	1.56114e-05	-0.0555804	0.0624163	8.81363	
15337.8	3.36524	3.087	3.23239	3.19362	3.2047	0.324813	1.57548	-4.68976	4.05834	3.09578	0.227118	-28.0429	0	289.968	280.968	0.000162147	4.48067	2.50308e-05	1.51981e-05	4.78043	5.0279e-06	1.5611e-05	-0.0555906	0.0624099	8.81356	
15588.9	3.36551	3.08698	3.23236	3.19358	3.20466	0.324812	1.57547	-4.68966	4.05838	3.09582	0.227113	-28.0432	0	289.969	280.969	0.000162146	4.48004	2.50331e-05	1.51958e-05	4.78062	5.02777e-06	1.56106e-05	-0.0556008	0.0624036	8.8135	
15839.6	3.36577	3.08696	3.23234	3.19355	3.20462	0.32481	1.57547	-4.68956	4.05842	3.09586	0.227108	-28.0434	0	289.97	280.97	0.000162145	4.47941	2.50352e-05	1.51934e-05	4.78082	5.02765e-06	1.56101e-05	-0.0556109	0.0623973	8.81343	
16090.2	3.36604	3.08694	3.23231	3.19351	3.20458	0.324809	1.57546	-4.68946	4.05846	3.0959	0.227102	-28.0436	0	289.97	280.97	0.000162145	4.47878	2.50373e-05	1.51912e-05	4.78101	5.02753e-06	1.56097e-05	-0.0556211	0.0623909	8.81337	
16341.7	3.36631	3.08691	3.23229	3.19348	3.20454	0.324808	1.57545	-4.68936	4.0585	3.09594	0.227097	-28.0438	0	289.971	280.971	0.000162144	4.47814	2.50393e-05	1.51891e-05	4.78121	5.02741e-06	1.56093e-05	-0.0556313	0.0623846	8.8133	
