Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac	Assim	Resp
10296.5	3.35859	3.08707	3.23251	3.19391	3.20509	0.324825	1.57555	-4.69119	4.0594	3.09679	0.227334	-28.0365	0	289.945	280.945	0.000162153	4.49163	2.49585e-05	1.5272e-05	4.77844	5.03274e-06	1.56264e-05	-0.0554222	0.0625194	8.8162	0.014427	0.0143808	
10547.2	3.35881	3.08705	3.23249	3.19388	3.20506	0.324823	1.57554	-4.69108	4.05945	3.09684	0.227328	-28.0367	0	289.946	280.946	0.000162152	4.49112	2.49626e-05	1.52676e-05	4.77865	5.03261e-06	1.56259e-05	-0.0554302	0.0625142	8.81614	0.014427	0.0143808	
10797.8	3.35905	3.08703	3.23247	3.19385	3.20503	0.324821	1.57553	-4.69097	4.05949	3.09689	0.227323	-28.0368	0	289.946	280.946	0.00016215	4.49059	2.49666e-05	1.52634e-05	4.77887	5.03248e-06	1.56255e-05	-0.0554385	0.062509	8.81607	0.014427	0.0143808	
11049.3	3.35928	3.08701	3.23245	3.19382	3.205	0.324818	1.57552	-4.69086	4.05954	3.09694	0.227317	-28.037	0	289.947	280.947	0.000162149	4.49005	2.49704e-05	1.52592e-05	4.77909	5.03234e-06	1.5625e-05	-0.0554469	0.0625036	8.816	0.014427	0.0143808	
11303.3	3.35953	3.087	3.23242	3.19379	3.20496	0.324816	1.57551	-4.69074	4.05959	3.097	0.227311	-28.0372	0	289.947	280.947	0.000162148	4.48949	2.49742e-05	1.52552e-05	4.7793	5.0322e-06	1.56245e-05	-0.0554557	0.062498	8.81593	0.014427	0.0143808	
11554.3	3.35978	3.08698	3.2324	3.19376	3.20493	0.324814	1.57549	-4.69063	4.05964	3.09705	0.227305	-28.0374	0	289.948	280.948	0.000162147	4.48893	2.49779e-05	1.52512e-05	4.77952	5.03206e-06	1.56239e-05	-0.0554646	0.0624924	8.81586	0.014427	0.0143808	
11805	3.36003	3.08696	3.23238	3.19373	3.20489	0.324812	1.57548	-4.69052	4.05968	3.0971	0.2273	-28.0376	0	289.949	280.949	0.000162146	4.48836	2.49815e-05	1.52474e-05	4.77973	5.03192e-06	1.56234e-05	-0.0554736	0.0624866	8.81579	0.014427	0.0143808	
12055.7	3.36029	3.08694	3.23236	3.1937	3.20486	0.32481	1.57547	-4.6904	4.05973	3.09714	0.227293	-28.0377	0	289.949	280.949	0.000162145	4.48778	2.4985e-05	1.52437e-05	4.77994	5.03177e-06	1.56229e-05	-0.0554828	0.0624808	8.81571	0.014427	0.0143808	
12307.1	3.36055	3.08692	3.23233	3.19367	3.20482	0.324808	1.57546	-4.69029	4.05977	3.09719	0.227287	-28.0379	0	289.95	280.95	0.000162144	4.48719	2.49883e-05	1.524e-05	4.78015	5.03162e-06	1.56224e-05	-0.0554922	0.0624749	8.81563	0.014427	0.0143808	
12561.2	3.36082	3.0869	3.23231	3.19363	3.20478	0.324806	1.57545	-4.69017	4.05981	3.09724	0.227281	-28.0381	0	289.951	280.951	0.000162143	4.48658	2.49917e-05	1.52364e-05	4.78037	5.03147e-06	1.56218e-05	-0.0555018	0.0624689	8.81556	0.014427	0.0143809	
12812.2	3.36109	3.08687	3.23229	3.1936	3.20474	0.324804	1.57544	-4.69006	4.05986	3.09728	0.227274	-28.0383	0	289.951	280.951	0.000162142	4.48598	2.49949e-05	1.52329e-05	4.78058	5.03132e-06	1.56213e-05	-0.0555114	0.0624629	8.81548	0.014427	0.0143809	
13062.9	3.36136	3.08685	3.23226	3.19357	3.20471	0.324802	1.57543	-4.68995	4.0599	3.09733	0.227268	-28.0385	0	289.952	280.952	0.000162141	4.48537	2.49981e-05	1.52296e-05	4.78078	5.03117e-06	1.56208e-05	-0.0555211	0.0624568	8.8154	0.014427	0.0143809	
13313.5	3.36164	3.08683	3.23224	3.19353	3.20467	0.3248	1.57542	-4.68983	4.05994	3.09737	0.227262	-28.0388	0	289.953	280.953	0.00016214	4.48475	2.50011e-05	1.52263e-05	4.78099	5.03101e-06	1.56202e-05	-0.0555309	0.0624506	8.81532	0.014427	0.0143809	
13565	3.36191	3.08681	3.23221	3.1935	3.20463	0.324798	1.57541	-4.68972	4.05998	3.09741	0.227255	-28.039	0	289.954	280.954	0.000162139	4.48413	2.50041e-05	1.52231e-05	4.7812	5.03086e-06	1.56197e-05	-0.0555409	0.0624444	8.81524	0.014427	0.0143809	
13819	3.3622	3.08679	3.23219	3.19346	3.20459	0.324796	1.5754	-4.6896	4.06002	3.09745	0.227248	-28.0392	0	289.954	280.954	0.000162138	4.4835	2.5007e-05	1.52199e-05	4.7814	5.0307e-06	1.56191e-05	-0.055551	0.0624381	8.81515	0.014427	0.0143809	
14070	3.36248	3.08677	3.23216	3.19343	3.20455	0.324794	1.5754	-4.68948	4.06006	3.0975	0.227242	-28.0394	0	289.955	280.955	0.000162137	4.48287	2.50098e-05	1.52169e-05	4.78161	5.03054e-06	1.56186e-05	-0.0555611	0.0624318	8.81507	0.014427	0.0143809	
14320.7	3.36277	3.08674	3.23214	3.1934	3.20451	0.324793	1.57539	-4.68937	4.0601	3.09753	0.227235	-28.0396	0	289.956	280.956	0.000162137	4.48224	2.50125e-05	1.5214e-05	4.78181	5.03038e-06	1.5618e-05	-0.0555713	0.0624255	8.81499	0.014427	0.0143809	
14571.3	3.36305	3.08672	3.23211	3.19336	3.20447	0.324791	1.57538	-4.68926	4.06014	3.09757	0.227228	-28.0399	0	289.956	280.956	0.000162136	4.4816	2.50152e-05	1.52111e-05	4.78201	5.03022e-06	1.56175e-05	-0.0555815	0.0624191	8.81491	0.014427	0.0143809	
14822.8	3.36334	3.0867	3.23209	3.19333	3.20443	0.324789	1.57537	-4.68914	4.06017	3.09761	0.227221	-28.0401	0	289.957	280.957	0.000162135	4.48096	2.50177e-05	1.52083e-05	4.78221	5.03006e-06	1.5617e-05	-0.0555917	0.0624128	8.81482	0.014427	0.0143809	
15076.8	3.36363	3.08668	3.23206	3.19329	3.20439	0.324788	1.57536	-4.68903	4.06021	3.09765	0.227214	-28.0403	0	289.958	280.958	0.000162134	4.48031	2.50203e-05	1.52056e-05	4.78241	5.0299e-06	1.56164e-05	-0.0556021	0.0624063	8.81474	0.014427	0.0143809	
15327.9	3.36392	3.08665	3.23204	3.19325	3.20435	0.324786	1.57535	-4.68891	4.06025	3.09769	0.227207	-28.0405	0	289.959	280.959	0.000162133	4.47967	2.50227e-05	1.5203e-05	4.78261	5.02974e-06	1.56158e-05	-0.0556125	0.0623999	8.81465	0.014427	0.0143809	
15578.6	3.36421	3.08663	3.23201	3.19322	3.20431	0.324785	1.57534	-4.6888	4.06028	3.09772	0.227201	-28.0408	0	289.959	280.959	0.000162133	4.47903	2.5025e-05	1.52005e-05	4.7828	5.02958e-06	1.56153e-05	-0.0556228	0.0623935	8.81457	0.014427	0.0143809	
15829.2	3.3645	3.08661	3.23199	3.19318	3.20427	0.324783	1.57534	-4.68869	4.06032	3.09776	0.227194	-28.041	0	289.96	280.96	0.000162132	4.47839	2.50273e-05	1.5198e-05	4.78299	5.02942e-06	1.56148e-05	-0.0556331	0.0623871	8.81449	0.014427	0.0143809	
16080.7	3.36479	3.08659	3.23196	3.19315	3.20423	0.324782	1.57533	-4.68857	4.06035	3.09779	0.227187	-28.0412	0	289.961	280.961	0.000162131	4.47775	2.50294e-05	1.51957e-05	4.78318	5.02926e-06	1.56142e-05	-0.0556435	0.0623807	8.8144	0.014427	0.0143809	
