Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac
13818.3	3.36312	3.08692	3.23232	3.19361	3.20472	0.324815	1.5755	-4.68939	4.05917	3.09657	0.22716	-28.0401	0	289.964	280.964	0.000162148	4.48419	2.50126e-05	1.52167e-05	4.78035	5.02884e-06	1.5614e-05	-0.055534	0.062445	8.81407	
14069.4	3.36338	3.08689	3.23229	3.19357	3.20468	0.324814	1.57549	-4.68929	4.05922	3.09661	0.227155	-28.0403	0	289.964	280.964	0.000162147	4.48357	2.50153e-05	1.52138e-05	4.78055	5.02871e-06	1.56136e-05	-0.055544	0.0624388	8.81401	
14320.1	3.36365	3.08687	3.23227	3.19354	3.20464	0.324812	1.57548	-4.68919	4.05926	3.09666	0.22715	-28.0405	0	289.965	280.965	0.000162146	4.48294	2.5018e-05	1.52109e-05	4.78076	5.02859e-06	1.56131e-05	-0.055554	0.0624325	8.81395	
14570.7	3.36391	3.08685	3.23224	3.1935	3.2046	0.324811	1.57547	-4.68909	4.0593	3.0967	0.227144	-28.0407	0	289.966	280.966	0.000162146	4.48231	2.50206e-05	1.52082e-05	4.78096	5.02847e-06	1.56127e-05	-0.0555641	0.0624262	8.81388	
14822.2	3.36418	3.08683	3.23222	3.19347	3.20456	0.32481	1.57547	-4.68899	4.05935	3.09674	0.227139	-28.0409	0	289.966	280.966	0.000162145	4.48168	2.50231e-05	1.52055e-05	4.78116	5.02834e-06	1.56123e-05	-0.0555742	0.0624199	8.81382	
15076.2	3.36445	3.0868	3.23219	3.19343	3.20452	0.324808	1.57546	-4.68888	4.05939	3.09678	0.227134	-28.0411	0	289.967	280.967	0.000162144	4.48103	2.50255e-05	1.52029e-05	4.78136	5.02822e-06	1.56118e-05	-0.0555845	0.0624135	8.81375	
15327.2	3.36472	3.08678	3.23217	3.1934	3.20448	0.324807	1.57545	-4.68878	4.05943	3.09682	0.227128	-28.0414	0	289.967	280.967	0.000162144	4.4804	2.50279e-05	1.52004e-05	4.78156	5.0281e-06	1.56114e-05	-0.0555948	0.0624071	8.81369	
15577.9	3.36499	3.08676	3.23214	3.19336	3.20444	0.324806	1.57544	-4.68868	4.05947	3.09686	0.227123	-28.0416	0	289.968	280.968	0.000162143	4.47976	2.50301e-05	1.5198e-05	4.78176	5.02797e-06	1.5611e-05	-0.055605	0.0624008	8.81362	
15828.5	3.36526	3.08674	3.23212	3.19333	3.2044	0.324804	1.57544	-4.68858	4.05951	3.0969	0.227118	-28.0418	0	289.968	280.968	0.000162142	4.47912	2.50323e-05	1.51956e-05	4.78196	5.02785e-06	1.56105e-05	-0.0556153	0.0623944	8.81356	
16080	3.36553	3.08671	3.23209	3.19329	3.20437	0.324803	1.57543	-4.68848	4.05955	3.09694	0.227113	-28.042	0	289.969	280.969	0.000162142	4.47848	2.50344e-05	1.51934e-05	4.78215	5.02772e-06	1.56101e-05	-0.0556256	0.062388	8.81349	
