Time	PCO2	SigCSurf	SigCDeep	AlkSurf	AlkDeep	PO4Surf	PO4Deep	d13CAtm	d13CSurf	d13CDeep	BioC	d13CBio	Inject	Stemp	Dtemp	Export	Lysocline	CalBurial	Dissolution	c13Diss	OrgBurial	PO4Burial	sCO3--Change	dCO3--Change	SAFrac	Assim	Resp	Eros
173826	4.18129	3.45143	3.61074	3.56118	3.56699	0.362453	1.75858	-5.91494	2.63744	1.66527	0.210551	-30.1463	0	291.842	282.842	0.000180937	4.77	3.13598e-05	1.35311e-05	3.22416	4.83456e-06	1.6146e-05	-0.0452753	0.0653669	8.60366	0.014427	0.0143838	4.31352e-05	
174079	4.18088	3.45131	3.61063	3.56107	3.56688	0.362473	1.75867	-5.91316	2.63931	1.66707	0.210558	-30.1442	0	291.841	282.841	0.000180946	4.76973	3.13568e-05	1.35365e-05	3.22604	4.83482e-06	1.61474e-05	-0.0452757	0.065364	8.60375	0.014427	0.0143838	4.31365e-05	
174331	4.18047	3.45119	3.61052	3.56095	3.56677	0.362492	1.75877	-5.91138	2.64118	1.66887	0.210566	-30.142	0	291.84	282.84	0.000180956	4.76945	3.13537e-05	1.3542e-05	3.22791	4.83507e-06	1.61489e-05	-0.0452758	0.0653611	8.60385	0.014427	0.0143838	4.31378e-05	
174583	4.18007	3.45106	3.61041	3.56083	3.56666	0.362512	1.75886	-5.9096	2.64305	1.67067	0.210573	-30.1398	0	291.839	282.839	0.000180966	4.76917	3.13507e-05	1.35474e-05	3.22978	4.83533e-06	1.61503e-05	-0.0452758	0.0653582	8.60394	0.014427	0.0143838	4.31391e-05	
174835	4.17966	3.45094	3.6103	3.56071	3.56656	0.362531	1.75896	-5.90783	2.6449	1.67247	0.21058	-30.1376	0	291.838	282.838	0.000180975	4.7689	3.13477e-05	1.35528e-05	3.23165	4.83558e-06	1.61517e-05	-0.0452765	0.0653554	8.60404	0.014427	0.0143838	4.31404e-05	
175088	4.17925	3.45082	3.6102	3.56059	3.56645	0.36255	1.75905	-5.90606	2.64676	1.67426	0.210587	-30.1354	0	291.837	282.837	0.000180985	4.76862	3.13447e-05	1.35582e-05	3.23351	4.83584e-06	1.61531e-05	-0.0452764	0.0653525	8.60413	0.014427	0.0143838	4.31418e-05	
175340	4.17884	3.4507	3.61009	3.56047	3.56634	0.362569	1.75915	-5.90429	2.64862	1.67605	0.210594	-30.1333	0	291.836	282.836	0.000180995	4.76835	3.13417e-05	1.35636e-05	3.23538	4.83609e-06	1.61545e-05	-0.0452769	0.0653496	8.60422	0.014427	0.0143838	4.31431e-05	
175592	4.17844	3.45058	3.60998	3.56035	3.56623	0.362588	1.75924	-5.90253	2.65047	1.67784	0.210601	-30.1311	0	291.836	282.836	0.000181004	4.76807	3.13387e-05	1.35689e-05	3.23724	4.83634e-06	1.61559e-05	-0.0452772	0.0653467	8.60432	0.014427	0.0143838	4.31443e-05	
175845	4.17803	3.45045	3.60987	3.56023	3.56612	0.362607	1.75934	-5.90077	2.65232	1.67962	0.210609	-30.129	0	291.835	282.835	0.000181014	4.7678	3.13357e-05	1.35743e-05	3.2391	4.8366e-06	1.61573e-05	-0.0452776	0.0653439	8.60441	0.014427	0.0143838	4.31456e-05	
176097	4.17762	3.45033	3.60976	3.56011	3.56601	0.362626	1.75943	-5.89901	2.65417	1.6814	0.210616	-30.1268	0	291.834	282.834	0.000181023	4.76753	3.13327e-05	1.35796e-05	3.24095	4.83685e-06	1.61587e-05	-0.0452778	0.065341	8.60451	0.014427	0.0143838	4.31469e-05	
